iter	Passed	Remaining
0	495	494946
1	970	484316
2	1357	451302
3	1828	455258
4	2297	457274
5	2753	456085
6	3173	450182
7	3638	451221
8	4086	449937
9	4491	444676
10	4849	436037
11	5197	427957
12	5610	425996
13	6099	429587
14	6508	427409
15	7021	431827
16	7306	422477
17	7715	420931
18	8218	424346
19	8609	421867
20	9113	424842
21	9667	429754
22	10098	428947
23	10567	429744
24	11084	432299
25	11675	437388
26	12098	435986
27	12716	441448
28	13520	452716
29	14125	456731
30	14635	457472
31	15119	457367
32	15590	456835
33	16121	458051
34	16666	459532
35	17302	463318
36	17752	462054
37	18143	459312
38	18693	460622
39	19162	459898
40	19599	458448
41	20026	456787
42	20336	452595
43	20835	452691
44	21286	451743
45	21775	451603
46	22442	455059
47	22926	454706
48	23268	451604
49	23619	448766
50	24067	447843
51	24495	446574
52	24884	444629
53	25340	443927
54	25665	440974
55	26190	441489
56	26600	440077
57	27187	441559
58	27605	440278
59	27979	438338
60	28423	437539
61	28764	435175
62	29062	432253
63	29483	431197
64	29795	428598
65	30126	426334
66	30413	423525
67	30706	420860
68	31205	421046
69	31770	422095
70	32135	420483
71	32637	420666
72	33190	421473
73	33731	422099
74	34171	421446
75	34864	423880
76	35388	424205
77	35932	424740
78	36323	423469
79	36703	422085
80	37148	421476
81	37525	420102
82	37875	418458
83	38250	417110
84	38598	415506
85	39151	416100
86	39783	417493
87	40170	416308
88	40518	414744
89	40954	414094
90	41329	412840
91	41798	412529
92	42171	411281
93	42646	411041
94	43072	410321
95	43655	411089
96	44150	411011
97	44405	408712
98	44901	408648
99	46299	416694
100	47415	422043
101	47937	422041
102	48413	421623
103	48761	420096
104	49218	419527
105	49687	419064
106	50090	418048
107	50500	417096
108	50892	416014
109	51530	416928
110	52024	416662
111	52367	415201
112	52833	414718
113	53367	414770
114	53827	414237
115	54246	413394
116	54651	412455
117	55089	411771
118	55499	410882
119	55744	408793
120	56202	408282
121	56653	407718
122	57109	407194
123	57536	406469
124	57790	404533
125	58178	403556
126	58558	402531
127	58886	401167
128	59267	400172
129	59625	399034
130	60000	398017
131	60248	396180
132	60674	395524
133	60998	394216
134	61368	393213
135	61732	392181
136	62148	391488
137	62501	390406
138	62816	389101
139	63168	388032
140	63542	387111
141	63876	385956
142	64220	384873
143	64616	384109
144	64846	382369
145	65288	381892
146	65630	380836
147	65981	379841
148	66295	378639
149	66670	377801
150	67118	377376
151	67550	376859
152	67900	375891
153	68274	375067
154	68733	374706
155	69139	374063
156	69611	373774
157	70091	373526
158	70513	372967
159	70769	371542
160	71239	371240
161	71753	371168
162	72232	370911
163	72670	370440
164	73096	369913
165	73514	369344
166	73860	368419
167	74305	367990
168	74744	367529
169	75085	366594
170	75521	366125
171	75857	365174
172	76293	364708
173	76669	363957
174	77107	363507
175	77559	363120
176	77842	361945
177	78269	361446
178	78691	360926
179	79038	360064
180	79418	359358
181	79724	358321
182	80176	357946
183	80464	356843
184	80829	356088
185	81122	355019
186	81602	354772
187	82033	354314
188	82503	354022
189	82835	353141
190	83228	352524
191	83620	351903
192	84015	351297
193	84450	350859
194	84860	350322
195	85270	349784
196	85625	349021
197	86046	348529
198	86400	347772
199	86844	347377
200	87239	346788
201	87690	346421
202	88070	345776
203	88305	344564
204	88737	344128
205	89090	343388
206	89440	342640
207	89750	341743
208	90151	341193
209	90438	340219
210	90766	339406
211	91113	338667
212	91580	338373
213	92106	338297
214	92508	337762
215	92849	337009
216	93211	336334
217	93602	335766
218	93928	334969
219	94363	334562
220	94780	334089
221	95188	333589
222	95589	333063
223	95899	332222
224	96259	331559
225	96686	331130
226	97127	330747
227	97578	330397
228	97956	329802
229	98379	329357
230	98806	328925
231	99181	328323
232	99620	327935
233	100070	327581
234	100474	327076
235	100885	326594
236	101264	326010
237	101659	325482
238	102120	325162
239	102556	324762
240	102866	323965
241	103234	323354
242	103757	323229
243	104094	322521
244	104590	322308
245	104987	321790
246	105337	321129
247	105721	320574
248	106141	320129
249	106745	320235
250	107303	320199
251	107744	319814
252	108116	319222
253	108513	318704
254	108768	317775
255	109224	317434
256	109619	316914
257	110044	316485
258	110349	315709
259	110691	315046
260	111095	314556
261	111357	313672
262	111859	313462
263	112288	313047
264	112872	313062
265	113826	314093
266	114888	315405
267	115614	315782
268	116031	315312
269	116419	314764
270	117005	314748
271	117535	314579
272	117882	313921
273	118290	313425
274	118689	312907
275	119037	312256
276	119363	311551
277	119769	311056
278	120149	310492
279	120511	309886
280	120749	308962
281	121157	308478
282	121540	307931
283	121781	307026
284	122167	306489
285	122398	305569
286	122783	305033
287	123143	304439
288	123493	303820
289	123810	303122
290	124165	302519
291	124493	301854
292	124821	301190
293	125136	300496
294	125501	299928
295	125830	299272
296	126202	298721
297	126561	298140
298	126938	297604
299	127360	297173
300	127813	296817
301	128377	296714
302	128878	296462
303	129208	295819
304	129680	295500
305	130075	295007
306	130479	294534
307	130831	293946
308	131283	293582
309	131667	293066
310	132117	292697
311	132555	292300
312	133176	292307
