iter	Passed	Remaining
0	124	124415
1	232	115871
2	395	131425
3	666	165847
4	935	186134
5	1127	186739
6	1349	191396
7	1674	207577
8	1828	201321
9	1962	194306
10	2074	186521
11	2329	191799
12	2518	191193
13	2813	198126
14	3019	198248
15	3221	198142
16	3555	205585
17	3826	208733
18	4175	215570
19	4311	211261
20	4529	211163
21	4752	211251
22	4876	207126
23	5061	205844
24	5349	208638
25	5559	208270
26	5804	209162
27	5988	207901
28	6227	208523
29	6523	210925
30	6824	213331
31	7013	212162
32	7229	211833
33	7423	210919
34	7611	209858
35	7785	208478
36	7994	208084
37	8226	208261
38	8476	208864
39	8713	209131
40	8881	207747
41	9033	206052
42	9227	205363
43	9419	204656
44	9650	204797
45	10040	208229
46	10586	214656
47	11175	221654
48	11680	226690
49	12152	230894
50	12701	236353
51	13211	240854
52	13942	249123
53	14551	254915
54	15248	262003
55	15590	262804
56	15841	262074
57	16166	262572
58	16422	261922
59	17554	275019
60	17958	276446
61	18442	279014
62	18893	281007
63	19209	280933
64	19743	284001
65	20060	283891
66	20397	284039
67	20707	283808
68	21031	283778
69	21298	282969
70	21662	283436
71	21978	283277
72	22283	282970
73	22770	284936
74	23571	290712
75	24222	294498
76	24891	298377
77	25515	301604
78	25781	300561
79	26058	299673
80	26486	300509
81	26918	301351
82	27252	301088
83	27715	302232
84	28171	303254
85	28514	303044
86	28942	303731
87	29173	302345
88	29540	302377
89	29788	301197
90	30064	300318
91	30361	299654
92	30661	299035
93	30930	298119
94	31181	297042
95	31579	297369
96	31831	296328
97	32102	295470
98	32298	293951
99	32526	292736
100	32664	290748
101	32851	289218
102	33075	288049
103	33255	286510
104	33514	285670
105	33713	284337
106	33975	283552
107	34347	283683
108	34531	282273
109	34782	281422
110	35046	280684
111	35240	279408
112	35418	278021
113	35672	277244
114	35842	275830
115	36032	274591
116	36174	273009
117	36375	271890
118	36615	271076
119	36855	270275
120	37065	269261
121	37262	268168
122	37383	266545
123	37498	264908
124	37618	263330
125	37743	261805
126	37885	260427
127	38149	259890
128	38320	258740
129	38460	257386
130	38550	255726
131	38676	254325
132	38780	252802
133	38883	251293
134	38971	249705
135	39165	248817
136	39263	247328
137	39486	246645
138	39603	245314
139	39755	244209
140	39988	243614
141	40274	243346
142	40438	242348
143	40769	242350
144	40875	241026
145	41027	239984
146	41112	238562
147	41211	237242
148	41360	236225
149	41486	235092
150	41616	233991
151	41737	232851
152	41856	231716
153	41949	230451
154	42082	229414
155	42195	228286
156	42288	227067
157	42385	225874
158	42507	224834
159	42617	223739
160	42701	222525
161	42887	221848
162	43146	221553
163	43393	221200
164	43542	220351
165	43679	219450
166	43749	218224
167	43976	217786
168	44170	217195
169	44320	216387
170	44519	215827
171	44732	215339
172	44925	214758
173	45048	213850
174	45161	212905
175	45257	211887
176	45404	211117
177	45509	210160
178	45638	209327
179	45736	208354
180	45795	207218
181	45903	206313
182	46040	205546
183	46146	204650
184	46265	203818
185	46382	202987
186	46598	202589
187	46810	202182
188	47028	201797
189	47201	201225
190	47370	200644
191	47555	200130
192	47971	200584
193	48307	200698
194	48735	201190
195	48925	200696
196	49123	200234
197	49251	199494
198	49472	199131
199	49644	198576
200	49831	198086
201	50024	197622
202	50087	196648
203	50275	196171
204	50387	195404
205	50577	194943
206	50722	194312
207	50865	193681
208	51036	193157
209	51225	192705
210	51385	192147
211	51530	191537
212	51634	190781
213	51784	190199
214	52254	190789
215	52509	190591
216	52635	189924
217	52814	189455
218	52905	188673
219	53021	187984
220	53198	187520
221	53325	186878
222	53446	186224
223	53623	185766
224	53735	185089
225	53951	184771
226	54106	184248
227	54260	183725
228	54357	183010
229	54568	182685
230	54706	182119
231	54857	181595
232	55016	181105
233	55177	180623
234	55311	180057
235	55422	179419
236	55572	178911
237	55726	178417
238	55901	177994
239	56072	177563
240	56218	177053
241	56315	176392
242	56512	176050
243	56660	175553
244	56801	175041
245	56886	174359
246	57147	174220
247	57343	173879
248	57438	173237
249	57568	172706
250	57665	172077
251	57717	171319
252	57841	170780
253	58020	170405
254	58176	169965
255	58277	169368
256	58407	168858
257	58559	168416
258	58649	167797
259	58838	167463
260	58948	166908
261	59048	166326
262	59121	165675
263	59253	165192
264	59420	164806
265	59605	164475
266	59714	163934
267	59787	163300
268	59976	162983
269	60049	162356
270	60146	161796
271	60294	161375
272	60669	161562
273	61118	161942
274	61277	161550
275	61376	161002
276	61520	160575
277	61684	160201
278	61811	159735
279	61858	159064
280	61939	158486
281	62165	158278
282	62312	157871
283	62455	157458
284	62581	157001
285	62683	156489
286	62847	156134
287	62961	155654
288	63063	155148
289	63157	154626
290	63266	154144
291	63385	153688
292	63533	153304
293	63598	152723
294	63697	152227
295	63786	151709
296	63889	151225
297	64054	150893
298	64133	150359
299	64284	149996
300	64371	149486
301	64453	148969
302	64642	148700
303	64763	148275
304	64923	147941
305	65049	147531
306	65288	147378
307	65532	147234
308	65684	146886
309	65833	146533
310	66046	146321
311	66150	145870
312	66204	145312
313	66280	144803
314	66395	144384
315	66462	143862
316	66540	143367
317	66665	142974
318	66877	142770
319	66982	142338
320	67087	141908
321	67210	141517
322	67329	141120
323	67472	140776
324	67582	140364
325	67701	139971
326	67785	139508
327	68006	139329
328	68112	138916
329	68270	138609
330	68475	138399
331	68579	137985
332	68727	137661
333	68829	137247
334	69013	136997
335	69301	136952
336	69555	136840
337	69773	136656
338	69948	136389
339	70051	135982
340	70138	135546
341	70299	135254
342	70410	134867
343	70520	134481
344	70628	134092
345	70741	133714
346	70838	133307
347	70957	132943
348	71151	132721
